suite	target	expected_status
hmac-replay	confirmed_receiver_accept_has_sender	verified
hmac-replay	confirmed_message_unique_send	verified
hmac-replay	one_confirmed_send_two_accepts_exists	verified
hmac-replay	confirmed_message_accepted_at_most_once	falsified
hmac-replay	injective_confirmed_receiver_accept	falsified
hmac-replay	slot_indices_distinct	verified
hmac-replay	process_requires_slot_added	verified
hmac-replay	process_requires_seal	verified
hmac-replay	complete_requires_all_slots_processed	verified
hmac-replay	no_add_after_seal	verified
hmac-replay	no_accept_after_close	verified
hmac-replay	batch_complete_consumes_state	verified
hmac-replay	batch_fail_consumes_state	verified
hmac-replay	batch_end_token_single_use	verified
hmac-replay	receiver_state_single_batch	verified
hmac-replay	receiver_state_single_batch_end	verified
original-impact	accept_output_has_same_time_accept	verified
original-impact	receiver_accept_has_output	verified
original-impact	receiver_accept_has_unique_output	verified
original-impact	accept_id_unique	verified
original-impact	install_has_prior_accept	verified
original-impact	install_session_has_interface_origin	verified
original-impact	install_from_accept_has_session	verified
original-impact	install_event_has_single_source	verified
original-impact	install_handle_unique	verified
original-impact	accept_output_installed_at_most_once	verified
original-impact	distinct_accept_sources_have_distinct_handles	verified
original-impact	install_requires_batch_complete	verified
original-impact	consumer_complete_requires_all_outputs_installed	verified
original-impact	consumer_complete_single_use	verified
original-impact	no_install_after_consumer_close	verified
original-impact	normal_one_accept_one_install	verified
original-impact	normal_consumer_complete	verified
original-impact	one_send_two_accepts_two_installs_exists	verified
original-impact	unique_install_within_completed_consumer	falsified
original-impact	normal_single_accept	verified
original-impact	normal_batch_complete	verified
original-impact	one_send_two_accepts_exists	verified
original-impact	same_message_accepted_at_most_once	falsified
original-impact	full_message_unique_send	verified
original-impact	receiver_accept_has_sender	verified
original-impact	injective_receiver_accept	falsified
original-impact	slot_indices_distinct	verified
original-impact	process_requires_slot_added	verified
original-impact	process_requires_seal	verified
original-impact	complete_requires_all_slots_processed	verified
original-impact	no_add_after_seal	verified
original-impact	no_accept_after_close	verified
original-impact	batch_complete_consumes_state	verified
original-impact	batch_fail_consumes_state	verified
original-impact	batch_end_token_single_use	verified
original-impact	receiver_state_single_batch	verified
original-impact	receiver_state_single_batch_end	verified
fixed-replay	normal_single_accept	verified
fixed-replay	normal_batch_complete	verified
fixed-replay	one_send_two_accepts_exists	falsified
fixed-replay	same_message_accepted_at_most_once	verified
fixed-replay	full_message_unique_send	verified
fixed-replay	receiver_accept_has_sender	verified
fixed-replay	injective_receiver_accept	verified
fixed-replay	slot_indices_distinct	verified
fixed-replay	process_requires_slot_added	verified
fixed-replay	process_requires_seal	verified
fixed-replay	complete_requires_all_slots_processed	verified
fixed-replay	no_add_after_seal	verified
fixed-replay	no_accept_after_close	verified
fixed-replay	batch_complete_consumes_state	verified
fixed-replay	batch_fail_consumes_state	verified
fixed-replay	batch_end_token_single_use	verified
fixed-replay	receiver_state_single_batch	verified
fixed-replay	receiver_state_single_batch_end	verified
fixed-replay	duplicate_batch_fail_exists	verified
fixed-replay	duplicate_detected_before_any_accept	verified
fixed-replay	duplicate_batch_has_no_accept	verified
fixed-replay	process_requires_dedup_pass	verified
fixed-replay	dedup_pass_messages_distinct	verified
fixed-replay	dedup_decision_single_use	verified
fixed-replay	dedup_outcomes_exclusive	verified
fixed-replay	normal_distinct_batch_complete	verified
fixed-replay	normal_distinct_fail_slot1_exists	verified
fixed-replay	normal_distinct_fail_slot2_exists	verified
fixed-replay	batch_fail_complete_exclusive	verified
fixed-replay	state_consumed_on_duplicate_fail	verified
fixed-impact	accept_output_has_same_time_accept	verified
fixed-impact	receiver_accept_has_output	verified
fixed-impact	receiver_accept_has_unique_output	verified
fixed-impact	accept_id_unique	verified
fixed-impact	install_has_prior_accept	verified
fixed-impact	install_session_has_interface_origin	verified
fixed-impact	install_from_accept_has_session	verified
fixed-impact	install_event_has_single_source	verified
fixed-impact	install_handle_unique	verified
fixed-impact	accept_output_installed_at_most_once	verified
fixed-impact	distinct_accept_sources_have_distinct_handles	verified
fixed-impact	install_requires_batch_complete	verified
fixed-impact	consumer_complete_requires_all_outputs_installed	verified
fixed-impact	consumer_complete_single_use	verified
fixed-impact	no_install_after_consumer_close	verified
fixed-impact	normal_one_accept_one_install	verified
fixed-impact	normal_consumer_complete	falsified
fixed-impact	one_send_two_accepts_two_installs_exists	falsified
fixed-impact	unique_install_within_completed_consumer	verified
fixed-impact	normal_single_accept	verified
fixed-impact	normal_batch_complete	verified
fixed-impact	one_send_two_accepts_exists	falsified
fixed-impact	same_message_accepted_at_most_once	verified
fixed-impact	full_message_unique_send	verified
fixed-impact	receiver_accept_has_sender	verified
fixed-impact	injective_receiver_accept	verified
fixed-impact	slot_indices_distinct	verified
fixed-impact	process_requires_slot_added	verified
fixed-impact	process_requires_seal	verified
fixed-impact	complete_requires_all_slots_processed	verified
fixed-impact	no_add_after_seal	verified
fixed-impact	no_accept_after_close	verified
fixed-impact	batch_complete_consumes_state	verified
fixed-impact	batch_fail_consumes_state	verified
fixed-impact	batch_end_token_single_use	verified
fixed-impact	receiver_state_single_batch	verified
fixed-impact	receiver_state_single_batch_end	verified
fixed-impact	duplicate_batch_fail_exists	verified
