suite	lemma	actual_status	expected_status	match
hmac-replay	one_confirmed_send_two_accepts_exists	verified	verified	MATCH
hmac-replay	confirmed_message_accepted_at_most_once	falsified	falsified	MATCH
hmac-replay	injective_confirmed_receiver_accept	falsified	falsified	MATCH
hmac-replay	slot_indices_distinct	verified	verified	MATCH
hmac-replay	process_requires_slot_added	verified	verified	MATCH
hmac-replay	process_requires_seal	verified	verified	MATCH
hmac-replay	complete_requires_all_slots_processed	verified	verified	MATCH
hmac-replay	no_add_after_seal	verified	verified	MATCH
hmac-replay	no_accept_after_close	verified	verified	MATCH
hmac-replay	batch_complete_consumes_state	verified	verified	MATCH
hmac-replay	batch_fail_consumes_state	verified	verified	MATCH
hmac-replay	batch_end_token_single_use	verified	verified	MATCH
hmac-replay	receiver_state_single_batch	verified	verified	MATCH
hmac-replay	receiver_state_single_batch_end	verified	verified	MATCH
original-impact	accept_output_has_same_time_accept	verified	verified	MATCH
original-impact	receiver_accept_has_output	verified	verified	MATCH
original-impact	receiver_accept_has_unique_output	verified	verified	MATCH
original-impact	accept_id_unique	verified	verified	MATCH
original-impact	install_has_prior_accept	verified	verified	MATCH
original-impact	install_session_has_interface_origin	verified	verified	MATCH
original-impact	install_from_accept_has_session	verified	verified	MATCH
original-impact	install_event_has_single_source	verified	verified	MATCH
original-impact	install_handle_unique	verified	verified	MATCH
original-impact	accept_output_installed_at_most_once	verified	verified	MATCH
original-impact	distinct_accept_sources_have_distinct_handles	verified	verified	MATCH
original-impact	install_requires_batch_complete	verified	verified	MATCH
original-impact	consumer_complete_requires_all_outputs_installed	verified	verified	MATCH
original-impact	consumer_complete_single_use	verified	verified	MATCH
original-impact	no_install_after_consumer_close	verified	verified	MATCH
original-impact	normal_one_accept_one_install	verified	verified	MATCH
original-impact	normal_consumer_complete	verified	verified	MATCH
original-impact	one_send_two_accepts_two_installs_exists	verified	verified	MATCH
original-impact	unique_install_within_completed_consumer	falsified	falsified	MATCH
original-impact	normal_single_accept	verified	verified	MATCH
original-impact	normal_batch_complete	verified	verified	MATCH
original-impact	one_send_two_accepts_exists	verified	verified	MATCH
original-impact	same_message_accepted_at_most_once	falsified	falsified	MATCH
original-impact	full_message_unique_send	verified	verified	MATCH
original-impact	receiver_accept_has_sender	verified	verified	MATCH
original-impact	injective_receiver_accept	falsified	falsified	MATCH
original-impact	slot_indices_distinct	verified	verified	MATCH
original-impact	process_requires_slot_added	verified	verified	MATCH
original-impact	process_requires_seal	verified	verified	MATCH
original-impact	complete_requires_all_slots_processed	verified	verified	MATCH
original-impact	no_add_after_seal	verified	verified	MATCH
original-impact	no_accept_after_close	verified	verified	MATCH
original-impact	batch_complete_consumes_state	verified	verified	MATCH
original-impact	batch_fail_consumes_state	verified	verified	MATCH
original-impact	batch_end_token_single_use	verified	verified	MATCH
original-impact	receiver_state_single_batch	verified	verified	MATCH
original-impact	receiver_state_single_batch_end	verified	verified	MATCH
v6	executable_add_slot	verified	verified	MATCH
v6	executable_seal_batch	verified	verified	MATCH
v6	executable_process_slot	verified	verified	MATCH
v6	executable_batch_complete	verified	verified	MATCH
v6	executable_batch_fail	verified	verified	MATCH
v6	process_requires_slot_added	verified	verified	MATCH
v6	process_requires_seal	verified	verified	MATCH
v6	complete_requires_seal	verified	verified	MATCH
v6	fail_requires_seal	verified	verified	MATCH
v6	batch_complete_consumes_state	verified	verified	MATCH
v6	batch_fail_consumes_state	verified	verified	MATCH
v6	batch_end_token_single_use	verified	verified	MATCH
v6	batch_fail_complete_exclusive	verified	verified	MATCH
v6	slot_origin_without_early_compromise	verified	verified	MATCH
v6	slot_key_known_requires_exception	verified	verified	MATCH
v6	partnered_slot_key_not_attacker_known_without_early_compromise	verified	verified	MATCH
v7	executable_four_slots_added	verified	verified	MATCH
v7	executable_seal_batch	verified	verified	MATCH
v7	executable_four_slots_processed	verified	verified	MATCH
v7	executable_batch_complete	verified	verified	MATCH
v7	executable_batch_fail	verified	verified	MATCH
v7	seal_requires_all_slots_added	verified	verified	MATCH
v7	process_requires_slot_added	verified	verified	MATCH
v7	process_requires_seal	verified	verified	MATCH
v7	complete_requires_seal	verified	verified	MATCH
v7	fail_requires_seal	verified	verified	MATCH
v7	complete_requires_all_slots_done	verified	verified	MATCH
v7	complete_requires_all_added_slots_processed	verified	verified	MATCH
v7	no_add_after_seal	verified	verified	MATCH
v7	no_add_after_complete	verified	verified	MATCH
v7	no_add_after_fail	verified	verified	MATCH
v7	no_slot_accept_after_complete	verified	verified	MATCH
v7	no_slot_accept_after_fail	verified	verified	MATCH
v7	no_slot_accept_after_close	verified	verified	MATCH
v7	batch_complete_consumes_state	verified	verified	MATCH
v7	batch_fail_consumes_state	verified	verified	MATCH
v7	batch_end_token_single_use	verified	verified	MATCH
v7	batch_fail_complete_exclusive	verified	verified	MATCH
v7	receiver_state_single_batch_end	verified	verified	MATCH
v7	slot_origin	verified	verified	MATCH
