suite	lemma	actual_status	expected_status	selected_run	match	selected_raw_output
fixed-replay	batch_complete_consumes_state	verified	verified	run2	MATCH	proofs/fixed-replay/batch_complete_consumes_state.out
fixed-replay	batch_end_token_single_use	verified	verified	run2	MATCH	proofs/fixed-replay/batch_end_token_single_use.out
fixed-replay	batch_fail_complete_exclusive	verified	verified	run2	MATCH	proofs/fixed-replay/batch_fail_complete_exclusive.out
fixed-replay	batch_fail_consumes_state	verified	verified	run2	MATCH	proofs/fixed-replay/batch_fail_consumes_state.out
fixed-replay	complete_requires_all_slots_processed	verified	verified	run2	MATCH	proofs/fixed-replay/complete_requires_all_slots_processed.out
fixed-replay	dedup_decision_single_use	verified	verified	run2	MATCH	proofs/fixed-replay/dedup_decision_single_use.out
fixed-replay	dedup_outcomes_exclusive	verified	verified	run2	MATCH	proofs/fixed-replay/dedup_outcomes_exclusive.out
fixed-replay	dedup_pass_messages_distinct	verified	verified	run2	MATCH	proofs/fixed-replay/dedup_pass_messages_distinct.out
fixed-replay	duplicate_batch_fail_exists	verified	verified	run2	MATCH	proofs/fixed-replay/duplicate_batch_fail_exists.out
fixed-replay	duplicate_batch_has_no_accept	verified	verified	run2	MATCH	proofs/fixed-replay/duplicate_batch_has_no_accept.out
fixed-replay	duplicate_detected_before_any_accept	verified	verified	run2	MATCH	proofs/fixed-replay/duplicate_detected_before_any_accept.out
fixed-replay	full_message_unique_send	verified	verified	run2	MATCH	proofs/fixed-replay/full_message_unique_send.out
fixed-replay	injective_receiver_accept	verified	verified	run2	MATCH	proofs/fixed-replay/injective_receiver_accept.out
fixed-replay	no_accept_after_close	verified	verified	run2	MATCH	proofs/fixed-replay/no_accept_after_close.out
fixed-replay	no_add_after_seal	verified	verified	run2	MATCH	proofs/fixed-replay/no_add_after_seal.out
fixed-replay	normal_batch_complete	verified	verified	run2	MATCH	proofs/fixed-replay/normal_batch_complete.out
