suite	target	actual_status	expected_status	exit_status	loop	raw_output
combined-impact	duplicate_batch_fail_exists	verified	verified	0	false	proofs/combined-impact/duplicate_batch_fail_exists.out
combined-impact	duplicate_detected_before_any_accept	verified	verified	0	false	proofs/combined-impact/duplicate_detected_before_any_accept.out
combined-impact	duplicate_batch_has_no_accept	verified	verified	0	false	proofs/combined-impact/duplicate_batch_has_no_accept.out
combined-impact	process_requires_dedup_pass	verified	verified	0	false	proofs/combined-impact/process_requires_dedup_pass.out
combined-impact	dedup_pass_messages_distinct	verified	verified	0	false	proofs/combined-impact/dedup_pass_messages_distinct.out
combined-impact	dedup_decision_single_use	verified	verified	0	false	proofs/combined-impact/dedup_decision_single_use.out
combined-impact	dedup_outcomes_exclusive	verified	verified	0	false	proofs/combined-impact/dedup_outcomes_exclusive.out
combined-impact	normal_distinct_batch_complete	verified	verified	0	false	proofs/combined-impact/normal_distinct_batch_complete.out
combined-impact	normal_distinct_fail_slot1_exists	verified	verified	0	false	proofs/combined-impact/normal_distinct_fail_slot1_exists.out
combined-impact	normal_distinct_fail_slot2_exists	verified	verified	0	false	proofs/combined-impact/normal_distinct_fail_slot2_exists.out
combined-impact	batch_fail_complete_exclusive	verified	verified	0	false	proofs/combined-impact/batch_fail_complete_exclusive.out
combined-impact	state_consumed_on_duplicate_fail	verified	verified	0	false	proofs/combined-impact/state_consumed_on_duplicate_fail.out
combined-impact	confirmed_base_message_accepted_at_most_once	verified	verified	0	false	proofs/combined-impact/confirmed_base_message_accepted_at_most_once.out
combined-impact	duplicate_same_base_different_tag_fail_exists	verified	verified	0	false	proofs/combined-impact/duplicate_same_base_different_tag_fail_exists.out
combined-impact	confirmed_accept_requires_valid_tag	verified	verified	0	false	proofs/combined-impact/confirmed_accept_requires_valid_tag.out
combined-impact	confirmed_accept_requires_hmac_validated	verified	verified	0	false	proofs/combined-impact/confirmed_accept_requires_hmac_validated.out
combined-impact	hmac_failure_slot1_exists	verified	verified	0	false	proofs/combined-impact/hmac_failure_slot1_exists.out
combined-impact	hmac_failure_slot2_after_prior_accept_replay_exists	verified	verified	0	false	proofs/combined-impact/hmac_failure_slot2_after_prior_accept_replay_exists.out
combined-impact	hmac_failed_slot_has_no_accept	verified	verified	0	false	proofs/combined-impact/hmac_failed_slot_has_no_accept.out
combined-impact	normal_two_distinct_valid_confirmed_accepts_complete	verified	verified	0	false	proofs/combined-impact/normal_two_distinct_valid_confirmed_accepts_complete.out
combined-impact	accept_output_has_same_time_confirmed_accept	verified	verified	0	false	proofs/combined-impact/accept_output_has_same_time_confirmed_accept.out
combined-impact	confirmed_receiver_accept_has_output	verified	verified	0	false	proofs/combined-impact/confirmed_receiver_accept_has_output.out
